INDIRIZZO,NUMERO_CIVICO,CATEGORIA,TIPO,SUBTIPO,FOGLIO,PLLA,motivo
CORSO CALATAFIMI,88,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
CORTILE CLEMENTE,6,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
CORTILE GRIFOTTA,22,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
LARGO MACELLO,20,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
PIAZZA BECCADELLI ANTONIO,60,Edificio,ARREDO URBANO,CHIOSCO,,,civico_non_trovato_in_anncsu
PIAZZA CASCINO ANTONINO GEN.,33,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
PIAZZA CASCINO ANTONINO GEN.,177,Edificio,INFRASTRUTTURA INTERESSE GENERALE,PADIGLIONE,,,civico_non_trovato_in_anncsu
PIAZZA CASTELFORTE,77,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
PIAZZA CASTELNUOVO,79,Edificio,ARREDO URBANO,CHIOSCO,,,civico_non_trovato_in_anncsu
PIAZZA MAGIONE,37/D,Unità non abitativa,EDILIZIA RESIDENZIALE,MAGAZZINO (E.R.),,,civico_non_trovato_in_anncsu
PIAZZA PORTA MONTALTO,203,Edificio,ARREDO URBANO,CHIOSCO,,,civico_non_trovato_in_anncsu
PIAZZA TREDICI VITTIME,8,Terreno,VERDE,AGRICOLO,,,civico_non_trovato_in_anncsu
PIAZZETTA CHIESA DEI COCCHIERI,2,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
PIAZZETTA CINA',97,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
PIAZZETTA DELLA PIETA',2,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),131,,civico_non_trovato_in_anncsu
PIAZZETTA DELLE VERGINI,66,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
PIAZZETTA SEIDITA,13,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
PIAZZETTA SETTE FATE,1,Terreno,AREA,AREA LIBERA,,,civico_non_trovato_in_anncsu
PIAZZETTA SETTE FATE,1,Terreno,AREA,AREA LIBERA,,,civico_non_trovato_in_anncsu
PIAZZETTA SPECIALE PIETRO,1,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA ALBERGHERIA,187,Unità non abitativa,LOCALE,MAGAZZINO,139,,civico_non_trovato_in_anncsu
VIA ARCHIMEDE,16,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA BELLOLAMPO,4,Edificio,IMPIANTO TECNICO,IMPIANTO DI SOLLEVAMENTO,,,civico_non_trovato_in_anncsu
VIA BONOMO GABRIELE,33,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA BRAMANTE DONATO,17,Edificio,SCUOLA,ASILO NIDO,48,,civico_non_trovato_in_anncsu
VIA CASALINI,37,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA CASCINO ANTONINO GEN.,177,Terreno,INFRASTRUTTURA INTERESSE GENERALE,AREA ESPOSITIVA,,,civico_non_trovato_in_anncsu
VIA CIMABUE GIOVANNI,22,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA DE GOBBIS FRANCESCO,39,Unità abitativa,ABITAZIONE DI SERVIZIO,ALLOGGIO CUSTODE,15,,civico_non_trovato_in_anncsu
VIA DE GOBBIS FRANCESCO,39,Unità non abitativa,IMPIANTO SPORTIVO,PALESTRA,15,,civico_non_trovato_in_anncsu
VIA DEL CASTORO,118,Unità non abitativa,IMPIANTO SPORTIVO,PALESTRA,,,civico_non_trovato_in_anncsu
VIA DEL PAPPAGALLO,1,Unità non abitativa,LOCALE,MAGAZZINO,133,,civico_non_trovato_in_anncsu
VIA DELLO SPASIMO,4,Unità non abitativa,LOCALE,MAGAZZINO,135,,civico_non_trovato_in_anncsu
VIA GAETANI OTTAVIO,20,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA GIARDINA,95,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA GIUSINO,24,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA GUGLIELMINI,20,Terreno,LOCALE,CAPANNONE,,,civico_non_trovato_in_anncsu
VIA LO FASO DOMENICO,23,Terreno,EDILIZIA RESIDENZIALE,NON CLASSIFICATO,,,civico_non_trovato_in_anncsu
VIA MATTARELLA PIERSANTI,15,Unità abitativa,ABITAZIONE DI SERVIZIO,ALLOGGIO CUSTODE,,,civico_non_trovato_in_anncsu
VIA MESSINA MARINE,106,Terreno,AREA,PARZIALMENTE EDIFICATA,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,ABITAZIONE DI SERVIZIO,PORTINERIA,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,ABITAZIONE DI SERVIZIO,PORTINERIA,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,COMMERCIALE,BAR,34,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,LOCALE,MAGAZZINO,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,LOCALE,MAGAZZINO,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,LOCALE,MAGAZZINO,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,LOCALE,MAGAZZINO,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,LOCALE,MAGAZZINO,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,LOCALE,MAGAZZINO,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,LOCALE,MAGAZZINO,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,LOCALE,MAGAZZINO,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,LOCALE,MAGAZZINO,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,LOCALE,MAGAZZINO,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,LOCALE,NON CLASSIFICATO,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,LOCALE,NON CLASSIFICATO,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,LOCALE,NON CLASSIFICATO,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,UFFICIO,UFFICIO COMUNALE,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,UFFICIO,UFFICIO COMUNALE,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,UFFICIO,UFFICIO COMUNALE,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,UFFICIO,UFFICIO COMUNALE,,,civico_non_trovato_in_anncsu
VIA MONTEPELLEGRINO,1,Unità non abitativa,UFFICIO,UFFICIO COMUNALE,,,civico_non_trovato_in_anncsu
VIA MURA DI SAN VITO,810,Unità non abitativa,LOCALE,MAGAZZINO,127,,civico_non_trovato_in_anncsu
VIA PANZERA FRANCESCO,1,Edificio,ABITAZIONE DI SERVIZIO,ALLOGGIO CUSTODE,88,,civico_non_trovato_in_anncsu
VIA PANZERA FRANCESCO,1,Unità abitativa,ABITAZIONE DI SERVIZIO,ALLOGGIO CUSTODE,88,,civico_non_trovato_in_anncsu
VIA PANZERA FRANCESCO,1,Unità non abitativa,LOCALE TECNICO,AUTOCLAVE/CALDAIA,88,,civico_non_trovato_in_anncsu
VIA PANZERA FRANCESCO,1,Unità non abitativa,IMPIANTO SPORTIVO,PALESTRA,88,,civico_non_trovato_in_anncsu
VIA PARROCCHIA DEI TARTARI,93,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA PARTANNA MONDELLO,194,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA PIEDILEGNO,25/27,Unità non abitativa,LOCALE,MAGAZZINO,31,,civico_non_trovato_in_anncsu
VIA PORTA CARINI,4,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA PORTA DI CASTRO,184/186,Terreno,AREA,AREA DI RISULTA,,,civico_non_trovato_in_anncsu
VIA PREZZOLINI GIUSEPPE,108,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA ROCCAZZO,2,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA ROSSI,1,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA SALINE,29,Edificio,ARREDO URBANO,FONTANA,,,civico_non_trovato_in_anncsu
VIA SAVONA,40,Unità non abitativa,COMMERCIALE,NEGOZI E BOTTEGHE,,,civico_non_trovato_in_anncsu
