FOGLIO,PLLA,n_record,subalterni,CATEGORIA,TIPO,SUBTIPO,INDIRIZZO,NUMERO_CIVICO
05/A,39,1,,Edificio,SCUOLA,MATERNA/ELEMENTAREVIA MONDELLO,,5
011A,374,4,,Unità abitativa,ABITAZIONE DI SERVIZIO,ALLOGGIO CUSTODE,VIA SANTOCANALE,23/B
06/A,589,1,,Edificio,SCUOLA,ELEMENTARE,VIA TACITO,2 - 34
044A,726,1,,Terreno,AREA,AREA LIBERA,VIA CESAREO GIOVANNI ALFREDO,
044C,832,2,,Unità abitativa,ABITAZIONE DI SERVIZIO,ALLOGGIO CUSTODE,VIA CALTANISSETTA,27
47/G,869,1,,Edificio,SCUOLA,MEDIA,VIA TEMBIEN,1
047D,933,1,,Terreno,VERDE,VERDE PUBBLICO,VIA DOGALI,
128/,959,1,,Unità non abitativa,LOCALE,MAGAZZINO,PIAZZETTA DEL PARLATOIO,6
47/G,1178,1,,Edificio,SCUOLA,MEDIA,VIA TEMBIEN,1
47/G,1530,1,,Edificio,SCUOLA,MEDIA,VIA TEMBIEN,1
47/G,1531,2,,Edificio,IMPIANTO SPORTIVO,PALESTRA,VIA TEMBIEN,1
1,103,1,,Terreno,INFRASTRUTTURA INTERESSE GENERALE,POLIGONO DI TIRO,,
1,104,1,,Terreno,INFRASTRUTTURA INTERESSE GENERALE,POLIGONO DI TIRO,,
1,172,1,,Terreno,INFRASTRUTTURA INTERESSE GENERALE,POLIGONO DI TIRO,,
1,209,1,,Terreno,INFRASTRUTTURA INTERESSE GENERALE,POLIGONO DI TIRO,,
1,246,1,,Terreno,INFRASTRUTTURA INTERESSE GENERALE,POLIGONO DI TIRO,,
1,248,1,,Terreno,INFRASTRUTTURA INTERESSE GENERALE,POLIGONO DI TIRO,,
1,263,1,,Terreno,INFRASTRUTTURA INTERESSE GENERALE,POLIGONO DI TIRO,,
1,417,1,,Terreno,INFRASTRUTTURA INTERESSE GENERALE,POLIGONO DI TIRO,,
1,467,1,,Edificio,CULTURALE,MONUMENTO,VIA CAPO GALLO,
2,25,1,,Terreno,INFRASTRUTTURA INTERESSE GENERALE,POLIGONO DI TIRO,,
2,28,1,,Terreno,INFRASTRUTTURA INTERESSE GENERALE,POLIGONO DI TIRO,,
2,30,1,01-2,Terreno,INFRASTRUTTURA INTERESSE GENERALE,POLIGONO DI TIRO,,
2,36,1,,Terreno,INFRASTRUTTURA INTERESSE GENERALE,POLIGONO DI TIRO,,
2,39,1,,Terreno,INFRASTRUTTURA INTERESSE GENERALE,POLIGONO DI TIRO,,
2,41,1,,Terreno,INFRASTRUTTURA INTERESSE GENERALE,POLIGONO DI TIRO,,
2,43,1,,Terreno,INFRASTRUTTURA INTERESSE GENERALE,POLIGONO DI TIRO,,
2,46,1,,Terreno,INFRASTRUTTURA INTERESSE GENERALE,POLIGONO DI TIRO,,
2,53,1,,Terreno,INFRASTRUTTURA INTERESSE GENERALE,POLIGONO DI TIRO,,
2,513,1,,Area,AREA,PARZIALMENTE EDIFICATA,VIALE NICOLETTI ROSARIO,56
2,517,1,,Area,AREA,PARZIALMENTE EDIFICATA,VIALE NICOLETTI ROSARIO,56
2,637,1,,Area,AREA,PARZIALMENTE EDIFICATA,VIALE NICOLETTI ROSARIO,56
2,1214,1,,Unità non abitativa,LOCALE TECNICO,CALDAIA,VIA PEGASO,29
2,1580,1,,Terreno,VERDE,AGRICOLO,VIA EUFROSINE,15
2,3117,1,2,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),VIA TIMEO,92
2,3118,1,1,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),VIA TIMEO,92
2,3217,1,,Area,IMPIANTO TECNICO,SERBATOIO,VIA SPINA SANTA,2
2,3219,1,,Area,IMPIANTO TECNICO,SERBATOIO,VIA SPINA SANTA,2
2,3220,1,,Area,IMPIANTO TECNICO,SERBATOIO,VIA SPINA SANTA,2
2,3221,1,,Area,IMPIANTO TECNICO,SERBATOIO,VIA SPINA SANTA,2
2,3222,1,,Area,IMPIANTO TECNICO,SERBATOIO,VIA SPINA SANTA,2
2,3223,1,,Area,IMPIANTO TECNICO,SERBATOIO,VIA SPINA SANTA,2
2,4169,4,4 6 5 7,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),VIA SPINA SANTA,170
2,5769,1,,Area,AREA,PARZIALMENTE EDIFICATA,VIALE NICOLETTI ROSARIO,56
4,1189,1,9,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),VIA ATLANTE,9
4,1559,1,2,Unità non abitativa,LOCALE,BOX,VIA IFIGENIA,17/A
5,39 A.,2,,Unità abitativa,ABITAZIONE DI SERVIZIO,ALLOGGIO CUSTODE,VIA MONDELLO,5
5,102,3,20 19 27,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),,14
5,263,1,,Terreno,PARCHEGGIO,PARCHEGGIO COMUNALE,VIA SALINE,
5,264,1,,Terreno,PARCHEGGIO,PARCHEGGIO COMUNALE,VIA SALINE,
5,3110,1,,Terreno,PARCHEGGIO,PARCHEGGIO COMUNALE,VIALE GALATEA,
5,3255,1,,Area,VERDE,AGRICOLO,,
6,4,1,,Area,IMPIANTO TECNICO,ACQUEDOTTO,,
6,200,1,,Area,AREA,PARZIALMENTE EDIFICATA,VIA LUOGHICELLI,75
6,813,1,,Terreno,EDILIZIA RESIDENZIALE,NON CLASSIFICATO,VIA SFERRACAVALLO,198
6,1277,1,,Area,AREA,PARZIALMENTE EDIFICATA,VIA LUOGHICELLI,75
6,1278,1,,Area,AREA,PARZIALMENTE EDIFICATA,VIA LUOGHICELLI,75
6,1279,1,,Area,AREA,PARZIALMENTE EDIFICATA,VIA LUOGHICELLI,75
6,1340,1,,Area,AREA,PARZIALMENTE EDIFICATA,VIA LUOGHICELLI,75
6,1341,1,,Area,AREA,PARZIALMENTE EDIFICATA,VIA LUOGHICELLI,75
7,218,1,,Terreno,VERDE,VILLA/GIARDINO,PIAZZA ROSSI,
7,593,1,,Edificio,SCUOLA,ELEMENTARE,VIA LIMONE,3
7,1825,3,2 1,Edificio,IMPIANTO TECNICO,ACQUEDOTTO,,SNC
8,167,1,23,Unità non abitativa,LOCALE,BOX,VIA LORENZINI CARLO COLLODI,4
8,168,20,11 9 15 13 30 8 14 12 23 28 27 32 7 29 31 17 21 22 3 4,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA LORENZINI CARLO COLLODI,4
8,314,16,24 5 26 20 7 30 27 29 31 32 13 16 4 19 28 33,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA CADUTI SUL LAVORO,86
8,594,1,,Unità non abitativa,LOCALE TECNICO,AUTOCLAVE,VIA VERNE GIULIO,3/5/7/9
8,802,1,32,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),PIAZZA GUARESCHI GIOVANNI,2
8,1086,15,59 61 69 39 48 50 28 35 21 25 32 4 10 9 5,Unità abitativa,EDILIZIA RESIDENZIALE PUBBLICA,ALLOGGIO (E.R.P.),VIA VERNE GIULIO,8
8,1087,15,13 19 14 18 17 11 8 20 12 15 21 16 10 9 22,Unità non abitativa,LOCALE,BOX,VIA PARTANNA MONDELLO,25
9,271,1,,Terreno,PARCHEGGIO,PARCHEGGIO COMUNALE,VIA PATROCLO,
9,350,1,,Edificio,IMPIANTO SPORTIVO,CAMPO BASEBALL,VIALE DELL'OLIMPO,12
9,455,1,2,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),VIA CHIRONE,33/35
9,535,1,,Edificio,IMPIANTO TECNICO,IMPIANTO DI DEPURAZIONE,VIALE DELL'OLIMPO,
9,550,1,,Edificio,IMPIANTO TECNICO,IMPIANTO DI DEPURAZIONE,VIALE DELL'OLIMPO,
9,651,1,2,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),VIA CHIRONE,33/35
10,727,1,,Terreno,VERDE,AGRICOLO,VIA DELL'ULIVO,
11,661,1,,Area,IMPIANTO TECNICO,SERBATOIO,VIA PARROCCHIA (DIETRO),2
12,D2140,1,,Terreno,VERDE,AGRICOLO,LUNGOMARE COLOMBO CRISTOFORO,
12,2028,1,3,Unità abitativa,EDILIZIA RESIDENZIALE,ALLOGGIO (E.R.),VIA PIZZARRO FRANCESCO,4
12,2548,1,,Terreno,STRADA,REGIA TRAZZERA,LUNGOMARE COLOMBO CRISTOFORO,SNC
14,501,1,,Terreno,AREA,PARZIALMENTE EDIFICATA,VIA LA MANTIA GIUSEPPE,9
14,2147,1,,Terreno,AREA,TERRENO,VIA COLLEGIO ROMANO,SNC
14,2149,1,,Terreno,AREA,TERRENO,VIA COLLEGIO ROMANO,SNC
14,2152,1,,Terreno,AREA,TERRENO,VIA COLLEGIO ROMANO,SNC
14,2412,2,,Terreno,AREA,PARZIALMENTE EDIFICATA,VIA LA MANTIA GIUSEPPE,11
14,3299,2,,Terreno,AREA,PARZIALMENTE EDIFICATA,VIA LA MANTIA GIUSEPPE,11
15,203,1,,Terreno,VERDE,VERDE PUBBLICO,VIA LANZA DI SCALEA GIUSEPPE,
15,285,1,,Unità non abitativa,LOCALE,MAGAZZINO,VIA VILLA CARDILLO,
15,1044,1,,Terreno,VERDE,VERDE PUBBLICO,VIA LANZA DI SCALEA GIUSEPPE,
15,1098,1,,Terreno,VERDE,VERDE PUBBLICO,VIA ZAPPA GINO,1
15,1100,1,,Terreno,VERDE,VERDE PUBBLICO,VIA ZAPPA GINO,1
15,1110,1,,Terreno,VERDE,VERDE PUBBLICO,VIA LANZA DI SCALEA GIUSEPPE,
