titolo,descrizione,immago,clip,tag,categoria,territorio,URL,fontedati,webmap,collaborazione,data,mese,anno,titolo_pm,primamappa
AMAP | AVVISO AGLI UTENTI DELLA CITTÀ DI PALERMO SERVITI DAL SERBATOIO MONTE GRIFONE,"In riferimento alla nota n.001-11759 del 05/08/2021, si ribadisce che:
“fermo restando l’uso non potabile dell’acqua, la stessa non è da ritenersi idonea per l’incorporazione negli alimenti quando l’acqua ne rappresenti l’ingrediente principale (minestre, bevande), soprattutto di quelli destinati a neonati o lattanti, mentre ne è consentito l’utilizzo per il lavaggio di verdura, ortaggi e frutta, per l’igiene personale e della casa”.","<img src=""legend/clip_index/seb_monte_grifone.jpg"" class=""clip_tooltips""  />",,Palermo;Ambiente;SERBATOIO MONTE GRIFONE;Amap;Avviso;,Ambiente,Palermo,http://siciliahub.github.io/palermohub/seb_amap.html,AMAP spa,,@gbvitrano,2021-08-08,agosto - 2021,2021,AMAP | AVVISO AGLI UTENTI DELLA CITTÀ DI PALERMO SERVITI DAL SERBATOIO MONTE GRIFONE,http://u.osmfr.org/m/644846/
Sicilia | Valutazioni Ambientali - Mappa progetti,Sicilia | Valutazioni Ambientali - Mappa progetti,"<img src=""legend/clip_index/valutazioni_ambientali.jpg"" class=""clip_tooltips""  />",,Urbanistica;Palermo;Sicilia;Ambiente;Progetti;Rifiuti;ATTIVITÀ PRODUTTIVE;CAVE;OPERE CIVILI E MARITTIME;VAS;VINCA;,Ambiente,Sicilia,http://siciliahub.github.io/palermohub/valutazioni_ambientali.html,Assessorato Regionale del Territorio e dell'Ambiente,,@gbvitrano,2021-08-07,agosto - 2021,2021,Portale Valutazioni Ambientali - Mappa progetti,https://si-vvi.regione.sicilia.it/map/viavas-oggetti.html
DPC-Aggregati-Strutturali-ITG | Palermo,"La Presidenza del Consiglio dei Ministri – Dipartimento della Protezione Civile ha pubblicato su Github il dataset nazionale degli aggregati strutturali, una raccolta dati sugli aggregati edilizi del nostro Paese.","<img src=""legend/clip_index/aggregati_strutturali_pa.jpg"" class=""clip_tooltips""  />",,Urbanistica;aggregati strutturali; poligoni;palermo,Strumenti Urbanistici,Palermo,http://siciliahub.github.io/palermohub/aggregati_strutturali_pa.html,Presidenza del Consiglio dei Ministri - Dipartimento della Protezione Civile,,@totofiandaca;@gbvitrano,2021-05-13,maggio - 2021,2021,PC-Aggregati-Strutturali-ITG | Palermo,https://gbvitrano.carto.com/viz/79dba7bd-bec1-4c74-8937-eb04e52437e5/embed_map
Sicilia - Approdi e Spiagge Blu 2021,"La Sicilia conquista dieci bandiere blu distribuite tra le province di Messina, Agrigento e Ragusa.
Le Bandiere Blu vanno ai Comuni di Alì Terme, Roccalumera, Santa Teresa di Riva, Lipari, Tusa, Menfi, Modica, Ispica, Pozzallo, Ragusa.","<img src=""legend/clip_index/bandiereblu.jpg"" class=""clip_tooltips""  />",,Ambiente;mare;spiagge;approdi;bandiere blu;feee,Ambiente,Sicilia,http://siciliahub.github.io/palermohub/bandiereblu.html,FEE - Italia,,@gbvitrano,2021-05-11,maggio - 2021,2021,Sicilia - Approdi e Spiagge Blu 2021,http://u.osmfr.org/m/609085/
Covid-19 | 2021 - Centri vaccinali in Sicilia,Mappa ed lelenco dei centri vccinali covid-19 in sicilia,"<img src=""https://gbvitrano.github.io/startbootstrap-scrolling-nav-gh-pages/img/sicilia_centri_vaccinali.png"" class=""clip_tooltips""  />",,,Emergenze;Covid-19;Pandemia;Vaccino;Centri vaccinali,Sicilia,https://bl.ocks.org/gbvitrano/raw/c95bf7141e51d2029addfe0b92ae12b0/,OpenDataSicilia,,@aborruso;@totofiandaca;@gbvitrano,2021-04-16,aprile - 2021,2021,Covid-19 | 2021 - Centri vaccinali in Sicilia,https://bl.ocks.org/gbvitrano/raw/c95bf7141e51d2029addfe0b92ae12b0/
COVID-19 | 2021 - Comuni siciliani attualmente in zona rossa,"La Regione Siciliana pubblica le ordinanze per le zone rosse solo tramite PDF (spesso sono fotocopie) e sono raccolte nel sito ufficiale nella sezione SERVIZI INFORMATIVI | ORDINANZE COVID-19.
Per ovviare a questi brutti PDF, Totò Fiandaca ha creato un foglio elettronico dove ha scritto, dopo aver aperto uno ad uno tutte le ordinanze del 2021, i comuni in zona rossa e relativo intervallo temporale, compreso anche di eventuale proroga e link al PDF.","<img src=""legend/clip_index/zonarossa_11042021.png"" class=""clip_tooltips""  />",,covid-19;sicilia;vaccini;zona rossa;zone rosse;;Incidenza cumulativa; indice 250;,Emergenze;Covid-19;Pandemia;Vaccino;Centri vaccinali,Sicilia,https://bl.ocks.org/gbvitrano/raw/664ac98fd51590d48290b70709a4ea48/,OpenDataSicilia,,@aborruso;@totofiandaca;@DennisAngemi;@gbvitrano,2021-04-06,aprile - 2021,2021,COVID-19 e i comuni siciliani in zona rossa anno 2021,http://opendatasicilia.it/2021/04/10/covid-19-e-i-comuni-siciliani-in-zona-rossa-anno-2021/
COVID-19 | 2021 - Incidenza cumulativa settimanale dei contagi,"Incidenza cumulativa settimanale dei contagi, Ricoverati e posti letto in terapia intensiva","<img src=""https://gbvitrano.github.io/startbootstrap-scrolling-nav-gh-pages/img/social_card_ondata.jpeg"" class=""clip_tooltips""  />",,covid-19;sicilia;vaccini;zona rossa;zone rosse;,Emergenze;Covid-19;Pandemia;Vaccino;Centri vaccinali,Italia,https://bl.ocks.org/gbvitrano/raw/9e2d5b6721cd757a290d73f6ba7bc6d6/,ondata.it,,@aborruso,2021-03-05,marzo - 2021,2021,COVID-19 | Incidenza cumulativa settimanale dei contagi,https://bl.ocks.org/aborruso/raw/28374f1d59a5d9880c4c76dc66865cd8/
Geolocalizzazione degli esercizi convenzionati buono pasto cartaceo ed eletronico | Impresa SODEXO | 2021,Sicilia | Convenzione Buoni Pasto 8 Lotto 12 - Impresa SODEXO | 2021,"<img src=""legend/clip_index/buoni_pasto.jpg"" class=""clip_tooltips""  />",,Buoni pasto; Esercizi convenzionati;SODEXO;,Cultura,Sicilia,http://palermohub.opendatasicilia.it/buoni_pasto.html,Comune di Palermo,,@gbvitrano,2021-02-16,febbraio - 2021,2021,Sicilia | Convenzione Buoni Pasto 8 Lotto 12 - Impresa SODEXO | 2021,http://u.osmfr.org/m/563385/
Italia - Mappa news Incendi registrati nel 2021,La mappa delle notizie relative agli Incendi avvenuti nel nostro paese nel 2021,"<img src=""legend/clip_index/news_incendi_2018.jpg"" class=""clip_tooltips""  />",,Incendi;News;EFFIS;Pericolo,Emergenze;Ambiente;Incendi,Italia,http://siciliahub.github.io/palermohub/news_incendi_2021.html,European Forest Fire Information System;EFFIS,,@gbvitrano,2021-01-01,gennaio - 2021,2021,,http://u.osmfr.org/m/546236/
Mappa terremoti in Italia nel 2021 (earthquakes today),Mappa terremoti in Italia nel 2021 - Archivo eventi sismici registarti nel 2019 suddivisi per mese,"<img src=""legend/clip_index/terremoti_2019.jpg"" class=""clip_tooltips"" />",,Terremoti;Terremoto;IGNV;Lista terremto;,,Italia,http://siciliahub.github.io/palermohub/terremoti_2021.html,INGV,,@aborruso;@gbvitrano,2021-01-01,gennaio - 2021,2021,Terremoti in Italia nel 2021 (earthquakes today),http://u.osmfr.org/m/547981/
