X,Y,id,tipo_ubicazione,denominazione_ubicazione,numero_ civico,note,Indirizzo,UPL,Quartiere,Circoscrizione
13.366101,38.116502,1303,Via,PATERNOSTRO ALESSANDRO,60,,"Via Alessandro Paternostro, 60, 90133 Palermo",Tribunali o Kalsa,Tribunali-Castellammare,I
13.366048,38.113059,1307,Vicolo,MEZZOJUSO,13,,"Vicolo Mezzojuso, 13, 90133 Palermo",Tribunali o Kalsa,Tribunali-Castellammare,I
13.365117,38.116372,1308,Piazzetta,Arco dei Cartari,7,,"Via Cartari, 18, 90133 Palermo",Tribunali o Kalsa,Tribunali-Castellammare,I
13.364387,38.113377,1309,Via,BOLOGNA,24,,"Via Bologna, 24, 90133 Palermo",Tribunali o Kalsa,Tribunali-Castellammare,I
13.362962,38.114118,1310,Vicolo,MESCHITTA,6,,"Vicolo Meschita, 6, 90133 Palermo",Tribunali o Kalsa,Tribunali-Castellammare,I
13.367344,38.115402,1312,Piazzetta,CHIESA DEI COCCHIERI,2,,"Piazzetta Chiesa Dei Cocchieri, 4, 90133 Palermo",Tribunali o Kalsa,Tribunali-Castellammare,I
13.371407,38.117492,1315,Via,SCOPARI,6,,"Via Scopari, 6, 90133 Palermo",Tribunali o Kalsa,Tribunali-Castellammare,I
13.370743,38.119131,1316,Piazza,SANTO SPIRITO,15,fontana,"Piazza Santo Spirito, 15, 90133 Palermo",Tribunali o Kalsa,Tribunali-Castellammare,I
13.353838,38.118984,1317,Piazza,PORTA CARINI,4,,"Piazza Porta Carini, 4, 90134 Palermo",Monte di Pietà  o Seralcadi,Palazzo Reale - Monte di Pietà,I
13.353995,38.117397,1318,Piazza,DELLA CONCEZIONE,7,,"Via della Concezione, 7, 90134 Palermo",Monte di Pietà  o Seralcadi,Palazzo Reale - Monte di Pietà,I
13.355402,38.115325,1319,Vicolo,NUOVO,3,,"Vicolo Nuovo, 3, 90134 Palermo",Monte di Pietà  o Seralcadi,Palazzo Reale - Monte di Pietà,I
13.358085,38.116254,1320,Via,DEL CELSO,85,,"Via del Celso, 85, 90134 Palermo",Monte di Pietà  o Seralcadi,Palazzo Reale - Monte di Pietà,I
13.358932,38.115697,1321,Piazzetta,DELLA CANNA,2,,"Piazzetta della Canna, 8, 90139 Palermo",Monte di Pietà  o Seralcadi,Palazzo Reale - Monte di Pietà,I
13.356013,38.116101,1325,Piazza,SAN GIOVANNI ALLA GUILLA,4,,"Via Beati Paoli, 3, 90134 Palermo",Monte di Pietà  o Seralcadi,Palazzo Reale - Monte di Pietà,I
13.356645,38.11864,1329,Piazza,DELLE STIGMATE,,fontana,"Piazza delle Stigmate, 90134 Palermo",Monte di Pietà  o Seralcadi,Palazzo Reale - Monte di Pietà,I
13.359046,38.109486,1334,Cortile,RITIRO SAN PIETRO,20,,"Via del Ritiro S. Pietro, 20, 90134 Palermo",Palazzo Reale o Albergaria,Palazzo Reale - Monte di Pietà,I
13.359565,38.110938,1335,Vicolo,GALLO,23,,"Vicolo Gallo, 23, 90134 Palermo",Palazzo Reale o Albergaria,Palazzo Reale - Monte di Pietà,I
13.361487,38.11569,1340,Piazzetta,SPECIALE PIETRO,1,,"Palermo, Province of Palermo, Italia",Tribunali o Kalsa,Tribunali-Castellammare,I
13.358924,38.113792,1341,Via,SANTISSIMO SALVATORE,30,,"Via Santissimo Salvatore, 30, 90134 Palermo",Palazzo Reale o Albergaria,Palazzo Reale - Monte di Pietà,I
13.361615,38.113895,1342,Cortile,DELLE BISACCE,3,,"Via del Ponticello, 31, 90134 Palermo",Palazzo Reale o Albergaria,Palazzo Reale - Monte di Pietà,I
13.33186,38.119125,1344,Via,PERPIGNANO,177,,"Via Perpignano, 177, 90135 Palermo",Noce,Noce,V
13.330518,38.119475,1346,Via,MALATERRA GOFFREDO,7,,"Via Goffredo Malaterra, 90135 Palermo",Noce,Noce,V
13.328359,38.113705,1347,Via,PORTELLO,27,,"Via Portello, 27, 90135 Palermo",Altarello - Tasca Lanza,Altarello,IV
13.371252,38.117428,1350,Vicolo,GRIFOTTA,22,,"Vicolo Grifotta, 22, 90133 Palermo",Tribunali o Kalsa,Tribunali-Castellammare,I
13.323368,38.109817,1351,Via,ALTARELLO,76,,"Via Altarello, 76, 90135 Palermo",Altarello - Tasca Lanza,Altarello,IV
