Data,Ora,Luogo,Tipologia,Feriti,latitude,longitude,Anno,Stagione,Mese,Giorno settimana,Giorno mese,Feriale/Weekend,Giorno/Notte,Condizioni luce (Visibilità),Fascia oraria (4 fasce),Fascia oraria dettagliata (6 fasce),Ora di punta (Picchi di traffico),UPL,Quartiere,Circoscrizione,Indirizzo,Coidvia
01/01/2015,03:36:00,VIA CATALANO intersezione VIA APOLLO,F,1,38.19790675,13.31415859,2015,Inverno,Gennaio,Giovedì,1,Feriale,Notte,Buio,Notte,Notte,Normale,Partanna Mondello,Partanna Mondello,VII,VIA APOLLO,2630
02/01/2015,03:36:00,VIALE REGINA ELENA altezza del civico 25-a,C,0,38.19634746,13.33369822,2015,Inverno,Gennaio,Venerdì,2,Feriale,Notte,Buio,Notte,Notte,Normale,Partanna Mondello,Partanna Mondello,VII,VIALE REGINA ELENA,41380
08/01/2015,00:00:00,VIALE MARGHERITA DI SAVOIA di fronte al civico 107,F,1,38.19544752,13.3318803,2015,Inverno,Gennaio,Giovedì,8,Feriale,Notte,Buio,Notte,Notte,Normale,Partanna Mondello,Partanna Mondello,VII,VIALE MARGHERITA DI SAVOIA,26920
09/01/2015,07:12:00,VIA TORRE DI MONDELLO nr. 8,F,1,38.20700792,13.32608878,2015,Inverno,Gennaio,Venerdì,9,Feriale,Giorno,Luce,Mattina,Mattina,Ora di punta,Partanna Mondello,Partanna Mondello,VII,VIA TORRE DI MONDELLO,51030
12/01/2015,00:00:00,VIALE PRINCIPESSA IOLANDA intersezione VIALE ORFEO,F,4,38.19447098,13.33418633,2015,Inverno,Gennaio,Lunedì,12,Feriale,Notte,Buio,Notte,Notte,Normale,Partanna Mondello,Partanna Mondello,VII,VIALE PRINCIPESSA IOLANDA,38990
23/01/2015,12:00:00,VIALE PRINCIPE DI SCALEA nr. 31,C,0,38.19993322,13.32667336,2015,Inverno,Gennaio,Venerdì,23,Feriale,Giorno,Luce,Pomeriggio,Pranzo,Normale,Partanna Mondello,Partanna Mondello,VII,VIALE PRINCIPE DI SCALEA,38940
31/01/2015,07:12:00,VIALE VENERE intersezione con PIAZZA CASTELFORTE,C,0,38.1889753,13.32352168,2015,Inverno,Gennaio,Sabato,31,Weekend,Giorno,Luce,Mattina,Mattina,Ora di punta,Partanna Mondello,Partanna Mondello,VII,VIALE VENERE,56190
31/01/2015,07:12:00,VIALE VENERE intersezione con PIAZZA CASTELFORTE,C,0,38.18898496,13.32356713,2015,Inverno,Gennaio,Sabato,31,Weekend,Giorno,Luce,Mattina,Mattina,Ora di punta,Partanna Mondello,Partanna Mondello,VII,VIALE VENERE,56190
01/02/2015,03:36:00,VIALE MARGHERITA DI SAVOIA in prossimità di civico 119,F,1,38.18635603,13.33322948,2015,Inverno,Febbraio,Domenica,1,Weekend,Notte,Buio,Notte,Notte,Normale,Partanna Mondello,Partanna Mondello,VII,VIALE MARGHERITA DI SAVOIA,26920
11/02/2015,07:12:00,VIALE DELL'OLIMPO altezza del civico 4,R,3,38.18900324,13.30351698,2015,Inverno,Febbraio,Mercoledì,11,Feriale,Giorno,Luce,Mattina,Mattina,Ora di punta,Partanna Mondello,Partanna Mondello,VII,VIALE DELL'OLIMPO,32020
09/02/2015,07:12:00,VIA MARINAI ALLIATA nr. 19,C,0,38.18662979,13.32903302,2015,Inverno,Febbraio,Lunedì,9,Feriale,Giorno,Luce,Mattina,Mattina,Ora di punta,Partanna Mondello,Partanna Mondello,VII,VIA MARINAI ALLIATA,27020
24/02/2015,09:36:00,VIALE VENERE altezza (inters.) VIALE MARGHERITA DI,C,0,38.19009681,13.33266464,2015,Inverno,Febbraio,Martedì,24,Feriale,Giorno,Luce,Mattina,Mattina,Ora di punta,Partanna Mondello,Partanna Mondello,VII,VIALE VENERE,56190
06/03/2015,02:24:00,VIA CASTELFORTE nr. 10 G,C,0,38.1829031,13.32489393,2015,Inverno,Marzo,Venerdì,6,Feriale,Notte,Buio,Notte,Notte,Normale,Partanna Mondello,Partanna Mondello,VII,VIA CASTELFORTE,10910
09/03/2015,07:12:00,VIALE VENERE altezza (inters.) VIALE MARGHERITA DI,C,0,38.19010614,13.33268727,2015,Inverno,Marzo,Lunedì,9,Feriale,Giorno,Luce,Mattina,Mattina,Ora di punta,Partanna Mondello,Partanna Mondello,VII,VIALE VENERE,56190
09/03/2015,07:12:00,VIALE MARGHERITA DI SAVOIA altezza (inters.) VIA,F,2,38.19014217,13.33268645,2015,Inverno,Marzo,Lunedì,9,Feriale,Giorno,Luce,Mattina,Mattina,Ora di punta,Partanna Mondello,Partanna Mondello,VII,VIALE VENERE,56190
16/03/2015,07:12:00,VIALE VENERE pressi 39,C,0,38.18982428,13.32997621,2015,Inverno,Marzo,Lunedì,16,Feriale,Giorno,Luce,Mattina,Mattina,Ora di punta,Partanna Mondello,Partanna Mondello,VII,VIALE VENERE,56190
24/03/2015,02:24:00,VIA TIMEO nr. 44,C,0,38.19634253,13.30690936,2015,Inverno,Marzo,Martedì,24,Feriale,Notte,Buio,Notte,Notte,Normale,Partanna Mondello,Partanna Mondello,VII,VIA TIMEO,50340
