anno,n_incidenti,n_feriti,n_inc_mort,n_morti
1991,2119,2789,46,50
1992,3053,4030,50,50
1993,2487,3634,25,26
1994,2398,3434,34,35
1995,2450,3596,23,23
1996,2474,3659,26,30
1997,2318,3367,36,37
1998,3068,4622,30,33
1999,3177,4737,31,32
2000,2718,3995,35,37
2001,2609,3764,46,49
2002,2317,3454,41,42
2003,2315,3299,44,44
2004,2442,3397,40,44
2005,2596,3510,24,24
2006,2619,3618,31,32
2007,2682,3647,33,34
2008,2616,3575,34,38
2009,2559,3593,51,51
2010,2473,3447,39,39
2011,2582,3611,32,33
2012,2464,3285,17,18
2013,2442,3294,22,22
2014,2227,3040,22,24
2015,1977,2733,18,18
2016,1859,3136,24,25
2017,2073,2977,26,27
2018,1655,2254,18,20
2019,1329,1731,25,26
2020,1441,1836,19,19
2021,1441,1836,17,19
2022,1773,2283,20,20
2023,1848,2448,24,24
2024,1987,2606,22,22
